Dataset	PlexID
PTRC_Ex18_Plex1_G_f01_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f01_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f01_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f02_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f02_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f02_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f03_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f03_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f03_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f04_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f04_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f04_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f05_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f05_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f05_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f06_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f06_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f06_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f07_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f07_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f07_15Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex1_G_f08_15Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_G_f08_15Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_G_f08_15Apr22_Pippin_REP-22-02-11	3
