ReporterName	PlexID	QuantBlock	ReporterAlias	MeasurementName
126	1	1	8	8
127N	1	1	2	2
127C	1	1	6	6
128N	1	1	NA	NA
128C	1	1	25	25
129N	1	1	23	23
129C	1	1	12	12
130N	1	1	28	28
130C	1	1	1	1
131N	1	1	3	3
131C	1	1	20	20
132N	1	1	37	37
132C	1	1	40	40
133N	1	1	43	43
133C	1	1	34	34
134N	1	1	ref	NA
126	2	1	26	26
127N	2	1	21	21
127C	2	1	11	11
128N	2	1	15	15
128C	2	1	13	13
129N	2	1	44	44
129C	2	1	30	30
130N	2	1	41	41
130C	2	1	9	9
131N	2	1	19	19
131C	2	1	35	35
132N	2	1	38	38
132C	2	1	5	5
133N	2	1	NA	NA
133C	2	1	4	4
134N	2	1	ref	NA
126	3	1	36	36
127N	3	1	31	31
127C	3	1	32	32
128N	3	1	16	16
128C	3	1	10	10
129N	3	1	17	17
129C	3	1	27	27
130N	3	1	29	29
130C	3	1	24	24
131N	3	1	33	33
131C	3	1	42	42
132N	3	1	14	14
132C	3	1	22	22
133N	3	1	39	39
133C	3	1	45	45
134N	3	1	ref	NA
