Dataset	PlexID
PTRC_Ex18_Plex1_P_f01_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f02_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f03_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f04_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f05_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f06_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f07_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f08_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f09_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f10_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f11_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex1_P_f12_29Apr22_Pippin_REP-22-02-11	1
PTRC_Ex18_Plex2_P_f01_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f02_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f03_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f04_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f05_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f06_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f07_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f08_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f09_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f10_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f11_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex2_P_f12_29Apr22_Pippin_REP-22-02-11	2
PTRC_Ex18_Plex3_P_f01_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f02_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f03_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f04_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f05_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f06_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f07_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f08_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f09_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f10_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f12_29Apr22_Pippin_REP-22-02-11	3
PTRC_Ex18_Plex3_P_f11_09May22_Pippin_REP-22-02-12	3
