"Drug_set","mean_NES","sd_NES","Fisher_p","types","N_types","N_sig","sig_types","adj_Fisher_p"
"EGFR inhibitor",1.91285714285714,0.0593616839704663,1.74075854577825e-10,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,7,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",1.42742200753817e-08
"MEK inhibitor",1.75428571428571,0.0734522844793686,8.17869155746738e-09,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,4,"JH-2-009, JH-2-079, WU-536, MN-3",3.35326353856162e-07
"glucocorticoid receptor agonist",1.68428571428571,0.032071349029491,5.89201742116181e-07,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"WU-561",1.61048476178423e-05
"src inhibitor",1.57142857142857,0.0819407451411428,5.3868306244465e-05,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.000631028730292304
"adenosine receptor antagonist",1.53285714285714,0.0754352450150206,0.000179299901078786,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.00183782398605756
"vitamin D receptor agonist",1.46142857142857,0.109305164780165,0.00104386802830527,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.00713309819341932
"RET tyrosine kinase inhibitor",1.44857142857143,0.107769595500242,0.00174925443828094,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0102456331385027
"TGF beta receptor inhibitor",1.36714285714286,0.209500539833377,0.00545054257468086,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"MN-3",0.0297962994082554
"p38 MAPK inhibitor",1.36285714285714,0.112058658108791,0.00760608373661496,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0389811791501517
"Abl kinase inhibitor",1.33714285714286,0.07319250547114,0.0195090199067472,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0841968227554351
"protein tyrosine kinase inhibitor",1.33285714285714,0.0805634916725696,0.0192229840111652,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0841968227554351
"bacterial 50S ribosomal subunit inhibitor",1.31142857142857,0.139931956253575,0.0205473978425469,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0842443311544424
"HCV inhibitor",1.28414285714286,0.189411746002748,0.0282999392284915,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.110504524606491
"estrogen receptor antagonist",1.27142857142857,0.0740334544712888,0.0579746644956777,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.206692282115025
"thymidylate synthase inhibitor",1.24714285714286,0.11353623294119,0.0763246111275704,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.240716081248491
"DNA methyltransferase inhibitor",1.23571428571429,0.0720780000779579,0.091021108230766,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.276434476848993
"calcium channel blocker",1.18428571428571,0.0512695955569324,0.17906343105584,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.506317287813066
"bromodomain inhibitor",1.17614285714286,0.338536275048642,0.0658076211772819,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.224842705689046
"AKT inhibitor",1.13857142857143,0.0944154950963332,0.260548783241547,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.68919355567119
"CDK inhibitor",1.11785714285714,0.0903630244650774,0.328042193946535,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.768555997246169
"dopamine receptor antagonist",1.11357142857143,0.161005028019683,0.31798988419737,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.766916779534834
"Bcr.Abl kinase inhibitor",1.10685714285714,0.0891953447429266,0.351711354318519,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.786299748248808
"tyrosine kinase inhibitor",1.10371428571429,0.070733571203765,0.354793788843974,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.786299748248808
"mTOR inhibitor",1.028,0.162494102457084,0.604375109123988,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"CC chemokine receptor antagonist",1.014,0.0725350489993171,0.64327220909419,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"antioxidant",1.00057142857143,0.108298749058422,0.66588328287939,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"histamine receptor antagonist",0.986428571428571,0.133773262329532,0.71828869419299,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"PI3K inhibitor",0.984428571428571,0.0686145201903532,0.73401581021206,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"DNA polymerase inhibitor",0.982428571428571,0.10705428084677,0.736373037621384,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"retinoid receptor agonist",0.957,0.165481116747501,0.754282840014547,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"growth factor receptor inhibitor",0.904,0.202325645103795,0.859879681401936,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"RAF inhibitor",0.893142857142857,0.215728555188713,0.855857681639756,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"acetylcholine receptor agonist",0.883428571428571,0.143562828455996,0.910694620503018,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"protein synthesis inhibitor",0.811285714285714,0.136732968818441,0.977287459313427,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"adrenergic receptor agonist",0.755285714285714,0.0667800226757331,0.996520206022829,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"serotonin receptor antagonist",0.740428571428571,0.120525041855565,0.996992441126852,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"benzodiazepine receptor agonist",0.73,0.0684007797226513,0.998711759923396,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"MDM inhibitor",0.633285714285714,0.767767480922385,0.764974625922481,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"bacterial DNA gyrase inhibitor",0.583142857142857,0.594052306499304,0.985422366623255,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"sodium channel blocker",0.529714285714286,0.568799529502183,0.997429778269585,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"opioid receptor agonist",0.382285714285714,0.459001348685642,0.999998706183145,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"cytochrome P450 inhibitor",0.366,0.754138802431842,0.986913515256364,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"DNA inhibitor",0.323,0.827913642839638,0.965163577003716,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"ALK tyrosine kinase receptor inhibitor",0.299571428571429,0.561024912442355,0.999995732307088,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"estrogen receptor agonist",0.299142857142857,0.73769990026917,0.997400599303746,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"NFkB pathway inhibitor",0.26,0.590165231100579,0.999996861114669,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"glutamate receptor antagonist",0.227,0.532232718523266,0.999999941367321,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"adrenergic receptor antagonist",0.179857142857143,0.714024376001135,0.999680939949072,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"androgen receptor antagonist",0.0904285714285714,0.703622734411668,0.999788276678758,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"VEGFR inhibitor",0.0717142857142857,0.856238228977137,0.99010172552178,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"JAK inhibitor",0.0177142857142858,0.741649223978945,0.99888535777095,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"HDAC inhibitor",-0.0561428571428571,0.562705200666515,0.999999990111921,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"potassium channel blocker",-0.148571428571429,0.836649240949248,0.983043078270994,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"Aurora kinase inhibitor",-0.292,0.84881839439698,0.944174799258724,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"tubulin polymerization inhibitor",-0.359142857142857,0.801179844265408,0.942375740199334,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"cyclooxygenase inhibitor",-0.413,0.661450678433396,0.996402493177641,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"FLT3 inhibitor",-0.493571428571429,0.776377884182451,0.904712308638466,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"phosphatase inhibitor",-0.612285714285714,0.56031351768027,0.981797947974351,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"ATPase inhibitor",-0.654571428571429,0.163543936138333,0.999477786751977,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"BCL inhibitor",-0.710285714285714,0.61777847008069,0.84371927257919,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"DNA alkylating agent",-0.897142857142857,0.308201464722579,0.771325555487322,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"DNA synthesis inhibitor",-0.918714285714286,0.151646204794487,0.809692889118211,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"glycogen synthase kinase inhibitor",-0.921285714285714,0.100415327989496,0.792442583101345,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"AP inhibitor",-0.940714285714286,0.173040182506563,0.719166670214508,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"sterol demethylase inhibitor",-1.003,0.067700320038633,0.557766931033195,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"HSP inhibitor",-1.01785714285714,0.317030192343163,0.501477096598104,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"PPAR receptor agonist",-1.02542857142857,0.21717877209253,0.506999150812466,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.999999990111921
"phosphodiesterase inhibitor",-1.06385714285714,0.0395070819450074,0.437769241299892,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.9446599417524
"progesterone receptor agonist",-1.08857142857143,0.135292100216355,0.315837323178821,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.766916779534834
"acetylcholine receptor antagonist",-1.10314285714286,0.230616151914408,0.271018527856181,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.694484977631464
"serotonin receptor agonist",-1.13171428571429,0.196382037778165,0.212985244608506,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.582159668596582
"KIT inhibitor",-1.19,0.0665832811847939,0.131850920769019,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.386134839394986
"proteasome inhibitor",-1.23,0.194079021706795,0.0746101033576385,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.240716081248491
"microtubule inhibitor",-1.28,0.325033844391626,0.0347617238470663,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"MN-3",0.129566425248156
"PLK inhibitor",-1.325,0.458151721594495,0.0136829032123445,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"MN-3",0.0659998860830735
"PARP inhibitor",-1.47285714285714,0.36275401609145,0.00125312190460852,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,2,"JH-2-009, MN-3",0.00790430739829991
"MET inhibitor",-1.48857142857143,0.239543216102966,0.000874113953393973,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,0,"",0.0065161221980278
"PDGFR tyrosine kinase receptor inhibitor",-1.55428571428571,0.118582902485581,0.000854006403372663,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"WU-561",0.0065161221980278
"CHK inhibitor",-1.56857142857143,0.289276601855305,0.00052708673278738,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,1,"JH-2-079",0.00480234578761836
"topoisomerase inhibitor",-1.62428571428571,0.331956681052269,2.8551511456834e-05,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,2,"JH-2-009, MN-3",0.000390203989910065
"ribonucleotide reductase inhibitor",-1.72857142857143,0.158474874078782,1.13969378194197e-05,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,2,"JH-2-009, MN-3",0.000186909780238483
"FGFR inhibitor",-1.76571428571429,0.120948631362953,8.06263372504368e-06,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,3,"JH-2-079, WU-561, MN-3",0.000165283991363395
"HMGCR inhibitor",-2.23142857142857,0.115676066586621,NA,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",7,7,"JH-2-009, JH-2-079, WU-487, WU-536, WU-561, MN-2, MN-3",NA
