"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"JH-2-009","Pearson.est","EGFR inhibitor",0.81524,1.98,0.00336,151,0.0786,"gefitinib, poziotinib, XL.647, AZD8931, pelitinib, dacomitinib, erlotinib, PD.153035, vandetanib, osimertinib, afatinib, BIBU.1361, CUDC.101, neratinib, canertinib, AST.1306, lapatinib, icotinib, WZ.4002, BMS.690514, PD.168393, BMS.599626, tucatinib, BIBX.1382, WZ8040, GW.583340, ARRY.334543, AEE788, TAK.285",2.47366072261016,1.10457745396059,TRUE
"JH-2-009","Pearson.est","Abl kinase inhibitor",0.55474,1.32,0.188,42,0.691,"dasatinib, ZM.306416, bosutinib",0.72584215073632,0.160521952625802,FALSE
"JH-2-009","Pearson.est","acetylcholine receptor agonist",0.28679,0.703,0.826,351,0.992,"nicotine, pilocarpine",0.0830199526796178,0.00348832784582135,FALSE
"JH-2-009","Pearson.est","acetylcholine receptor antagonist",-0.33127,-0.856,0.61,915,0.859,"iododexetimide, darifenacin, methscopolamine, diphemanil",0.214670164989233,0.0660068361687577,FALSE
"JH-2-009","Pearson.est","adenosine receptor antagonist",0.60215,1.45,0.113,179,0.637,"CGS.15943, PSB.1115, SCH.58261",0.94692155651658,0.19586056766465,FALSE
"JH-2-009","Pearson.est","adrenergic receptor agonist",0.34693,0.845,0.668,171,0.872,"isoxsuprine, ritodrine, oxymetazoline",0.175223537524454,0.0594835150674328,FALSE
"JH-2-009","Pearson.est","adrenergic receptor antagonist",-0.23661,-0.618,0.905,1074,1,"levobunolol, practolol, idazoxan, carvedilol, propranolol, metoprolol, pindolol",0.0433514207947967,0,FALSE
"JH-2-009","Pearson.est","AKT inhibitor",0.4419,1.07,0.394,539,0.772,"AT7867, uprosertib, triciribine, AZD5363, GSK2110183, palomid.529, MK.2206",0.404503778174426,0.112382699664264,FALSE
"JH-2-009","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.18789,-0.48,0.985,270,0.987,"GW.788388, SB.505124, AZD3463, CEP.37440, lorlatinib, AP26113, crizotinib, alectinib, DMH1, brigatinib, NVP.TAE684",0.00656376950238827,0.00568284733036327,FALSE
"JH-2-009","Pearson.est","androgen receptor antagonist",0.21766,0.531,0.957,252,0.963,"RU.58841",0.0190880622231565,0.0163737128754655,FALSE
"JH-2-009","Pearson.est","antioxidant",0.46368,1.14,0.333,450,0.693,"mesna, chlorogenic.acid, trolox",0.47755576649368,0.159266765388193,FALSE
"JH-2-009","Pearson.est","AP inhibitor",-0.2823,-0.716,0.796,1374,0.976,"idronoxil",0.0990869322623309,0.0105501823333082,FALSE
"JH-2-009","Pearson.est","ATPase inhibitor",-0.20026,-0.53,0.97,1395,0.995,"oligomycin.a",0.0132282657337552,0.00217691925427455,FALSE
"JH-2-009","Pearson.est","Aurora kinase inhibitor",-0.48004,-1.29,0.217,1099,0.549,"danusertib, KW.2449, hesperadin, aurora.a.inhibitor.i, TAK.901, barasertib.HQPA, AT.9283, SNS.314, tozasertib, PF.03814735, AMG900, barasertib, ZM.447439",0.66354026615147,0.260427655549908,FALSE
"JH-2-009","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.55111,1.33,0.148,498,0.732,"tedizolid, azithromycin, tilmicosin, dirithromycin, azalomycin.b, radezolid",0.829738284605043,0.135488918941608,FALSE
"JH-2-009","Pearson.est","bacterial DNA gyrase inhibitor",0.29337,0.71,0.807,56,1,"finafloxacin",0.0931264652779296,0,FALSE
"JH-2-009","Pearson.est","BCL inhibitor",-0.35494,-0.933,0.501,1187,0.808,"ABT.737, navitoclax, oridonin",0.300162274132754,0.0925886392254138,FALSE
"JH-2-009","Pearson.est","Bcr.Abl kinase inhibitor",0.48322,1.15,0.31,42,0.745,"dasatinib, bosutinib",0.508638306165727,0.127843727251707,FALSE
"JH-2-009","Pearson.est","benzodiazepine receptor agonist",0.27288,0.655,0.874,467,0.953,"ZK.93423, eprinomectin, ivermectin, lorazepam, zaleplon, piperazine, CGS.20625",0.058488567365597,0.0209070993616736,FALSE
"JH-2-009","Pearson.est","bromodomain inhibitor",0.37013,0.901,0.586,595,0.853,"JQ1...., bromosporine, OTX015, I.BET151, I.BET.762",0.232102383981909,0.069050968832477,FALSE
"JH-2-009","Pearson.est","calcium channel blocker",0.49197,1.2,0.245,303,0.718,"tetrandrine, cinnarazine, fendiline, SKF.96365, efonidipine.monoethanolate",0.610833915635468,0.1438755557577,FALSE
"JH-2-009","Pearson.est","CC chemokine receptor antagonist",0.41883,1.02,0.437,82,0.837,"navarixin, ZK811752",0.359518563029578,0.07727454200674,FALSE
"JH-2-009","Pearson.est","CDK inhibitor",0.37697,0.925,0.543,506,0.838,"AZD5438, alvocidib, aminopurvalanol.a, JNJ.7706621, AT.7519, P276.00, BMS.387032, TG.02, kenpaullone, indirubin, BMS.265246",0.265200170411153,0.0767559813697235,FALSE
"JH-2-009","Pearson.est","CHK inhibitor",-0.61662,-1.61,0.0602,1081,0.363,"CHIR.124, LY2606368, SCH.900776, SB.218078, PF.477736",1.22040350874218,0.440093374963888,FALSE
"JH-2-009","Pearson.est","cyclooxygenase inhibitor",-0.33291,-0.868,0.587,1296,0.869,"metoxibutropate, AM.404, sulfasalazine, suxibuzone, naproxen",0.231361898752386,0.0609802235513335,FALSE
"JH-2-009","Pearson.est","cytochrome P450 inhibitor",0.29077,0.719,0.8,1029,1,"morin, itraconazole, metyrapone, eplerenone, cobicistat, PF.4981517, clotrimazole",0.0969100130080564,0,FALSE
"JH-2-009","Pearson.est","DNA alkylating agent",-0.44618,-1.15,0.299,1269,0.64,"satraplatin, cisplatin, mitomycin.c, melphalan, dianhydrogalactitol",0.52432881167557,0.193820026016113,FALSE
"JH-2-009","Pearson.est","DNA inhibitor",0.22815,0.565,0.951,327,0.965,"sangivamycin, carmustine, metronidazole, oxaliplatin, teroxirone",0.0218194830625861,0.0154726866562074,FALSE
"JH-2-009","Pearson.est","DNA methyltransferase inhibitor",0.46357,1.13,0.304,193,0.679,"decitabine, azacitidine",0.517126416391246,0.168130225719498,FALSE
"JH-2-009","Pearson.est","DNA polymerase inhibitor",0.35833,0.86,0.596,281,0.872,"idoxuridine, adefovir.dipivoxil, cidofovir",0.224753740259764,0.0594835150674328,FALSE
"JH-2-009","Pearson.est","DNA synthesis inhibitor",-0.42225,-1.11,0.316,1232,0.61,"azodicarbonamide, cisplatin, mitomycin.c, artemisinin, estramustine.phosphate",0.500312917381596,0.214670164989233,FALSE
"JH-2-009","Pearson.est","dopamine receptor antagonist",0.48182,1.14,0.304,405,0.693,"clebopride, mesoridazine, oxiperomide, UH.232...., thioproperazine, domperidone, acetophenazine, amisulpride, lurasidone, sertindole",0.517126416391246,0.159266765388193,FALSE
"JH-2-009","Pearson.est","estrogen receptor agonist",0.33128,0.816,0.687,425,0.895,"erteberel, PPT, estrone, ethinyl.estradiol, levonorgestrel",0.16304326294045,0.048176964684088,FALSE
"JH-2-009","Pearson.est","estrogen receptor antagonist",0.52507,1.27,0.214,77,0.76,"clomifene, raloxifene",0.669586226650809,0.119186407719209,FALSE
"JH-2-009","Pearson.est","FGFR inhibitor",-0.62044,-1.55,0.0504,1343,0.35,"dovitinib, nintedanib, lenvatinib, erdafitinib",1.29756946355447,0.455931955649724,FALSE
"JH-2-009","Pearson.est","FLT3 inhibitor",-0.42789,-1.13,0.288,1031,0.64,"tandutinib, sunitinib, sorafenib, KW.2449, tyrphostin.AG.1296, lestaurtinib, ponatinib, quizartinib, tozasertib, midostaurin, dovitinib",0.540607512240769,0.193820026016113,FALSE
