"type","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"JH-2-009","Pearson.est","EGFR inhibitor",0.82464,2.21,0,128,0.0269,"gefitinib, poziotinib, AZD8931, XL.647, vandetanib, osimertinib, CUDC.101, pelitinib, erlotinib, dacomitinib, PD.153035, canertinib, neratinib, lapatinib, afatinib, icotinib, BIBU.1361, BMS.690514, WZ.4002, tucatinib, AST.1306, PD.168393, WZ8040, BIBX.1382, BMS.599626, GW.583340, TAK.285, ARRY.334543, AEE788",Inf,1.57024771999759,TRUE
"JH-2-009","Pearson.est","Abl kinase inhibitor",0.38162,1.01,0.411,69,0.928,"ZM.306416, dasatinib, bosutinib",0.386158178123931,0.0324520237811379,FALSE
"JH-2-009","Pearson.est","acetylcholine receptor agonist",-0.35643,-0.846,0.661,835,0.915,"oxiracetam, tremorine, nefiracetam, xanomeline",0.17979854051436,0.0385789059335517,FALSE
"JH-2-009","Pearson.est","acetylcholine receptor antagonist",-0.50811,-1.22,0.242,923,0.558,"methscopolamine, dicycloverine, iododexetimide, darifenacin, diphemanil",0.616184634019569,0.253365801062421,FALSE
"JH-2-009","Pearson.est","adenosine receptor antagonist",0.61527,1.59,0.0732,259,0.478,"CGS.15943, SCH.58261, PSB.1115, MRS.1220, istradefylline",1.13548891894161,0.320572103387881,FALSE
"JH-2-009","Pearson.est","adrenergic receptor agonist",0.2391,0.619,0.926,62,0.972,"ritodrine, isoxsuprine",0.0333890133180656,0.0123337350737254,FALSE
"JH-2-009","Pearson.est","adrenergic receptor antagonist",-0.4367,-1.06,0.395,1068,0.7,"practolol, metoprolol, levobunolol, propranolol, carvedilol, idazoxan, pindolol",0.40340290437354,0.154901959985743,FALSE
"JH-2-009","Pearson.est","AKT inhibitor",0.57078,1.48,0.0961,268,0.375,"uprosertib, GSK2110183, AT7867, triciribine, MK.2206, GDC.0068",1.01727661233145,0.425968732272281,FALSE
"JH-2-009","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.30043,-0.739,0.784,1025,0.949,"DMH1, alectinib, AP26113, brigatinib, NVP.TAE684",0.105683937315562,0.0227337875727074,FALSE
"JH-2-009","Pearson.est","androgen receptor antagonist",0.28225,0.763,0.754,1041,0.914,"RU.58841, enzalutamide, nilutamide, cyproterone.acetate, bicalutamide, flutamide",0.122628654130226,0.0390538042661686,FALSE
"JH-2-009","Pearson.est","antioxidant",0.38211,0.998,0.436,897,0.894,"mesna, trolox, chlorogenic.acid, benfotiamine, rutin, taurine",0.360513510731414,0.0486624812040823,FALSE
"JH-2-009","Pearson.est","AP inhibitor",-0.32295,-0.772,0.735,930,0.945,"GDC.0152, LCL.161, idronoxil",0.133712660915805,0.0245681914907371,FALSE
"JH-2-009","Pearson.est","ATPase inhibitor",0.30644,0.808,0.636,21,0.998,"k.strophanthidin",0.196542884351586,0.000869458712628891,FALSE
"JH-2-009","Pearson.est","Aurora kinase inhibitor",-0.65146,-1.61,0.0415,1060,0.25,"CCT137690, ENMD.2076, MLN.8054, TAK.901, alisertib, KW.2449, danusertib, hesperadin, barasertib.HQPA, tozasertib, barasertib, ZM.447439, SNS.314, AMG900, AT.9283, PF.03814735",1.38195190328791,0.602059991327962,FALSE
"JH-2-009","Pearson.est","bacterial 50S ribosomal subunit inhibitor",0.59072,1.58,0.056,81,0.397,"tedizolid, azithromycin",1.2518119729938,0.401209493236885,FALSE
"JH-2-009","Pearson.est","bacterial DNA gyrase inhibitor",-0.41352,-1.02,0.419,1221,0.754,"sparfloxacin, novobiocin, norfloxacin",0.377785977033705,0.122628654130226,FALSE
"JH-2-009","Pearson.est","BCL inhibitor",-0.3417,-0.818,0.684,1080,0.892,"TW.37, navitoclax, oridonin",0.164943898279884,0.0496351456238769,FALSE
"JH-2-009","Pearson.est","Bcr.Abl kinase inhibitor",0.31253,0.804,0.645,69,0.959,"dasatinib, bosutinib",0.190440285364732,0.0181813928293364,FALSE
"JH-2-009","Pearson.est","benzodiazepine receptor agonist",0.2453,0.624,0.913,1096,1,"ZK.93423, eprinomectin, zaleplon, piperazine, ivermectin, lorazepam, CGS.20625, temazepam, CL.218872, indiplon, nefiracetam, bentazepam, gamma.aminobutyric.acid",0.039529222465701,0,FALSE
"JH-2-009","Pearson.est","bromodomain inhibitor",-0.25715,-0.611,0.934,1207,0.973,"PFI.1",0.0296531237699066,0.0118871597316481,FALSE
"JH-2-009","Pearson.est","calcium channel blocker",-0.28639,-0.687,0.845,1422,0.955,"pranidipine",0.0731432910503077,0.0199966284162537,FALSE
"JH-2-009","Pearson.est","CC chemokine receptor antagonist",-0.45428,-1.11,0.348,1193,0.676,"SB.225002, MK.0812, UNBS.5162",0.458420756053419,0.170053304058364,FALSE
"JH-2-009","Pearson.est","CDK inhibitor",-0.18529,-0.456,0.994,797,0.991,"ribociclib, arcyriaflavin.a, dinaciclib, BMS.265246, indisulam, CR8..R., palbociclib, PHA.848125, PHA.793887, R547, abemaciclib",0.00261361560268669,0.00392634551472468,FALSE
"JH-2-009","Pearson.est","CHK inhibitor",-0.56352,-1.37,0.131,895,0.477,"AZD7762, CHIR.124, LY2606368, SCH.900776, SB.218078, PF.477736",0.882728704344236,0.321481620959886,FALSE
"JH-2-009","Pearson.est","cyclooxygenase inhibitor",-0.34499,-0.841,0.664,1213,0.899,"AM.404, tepoxalin, sulfasalazine, suxibuzone, naproxen",0.177831920631982,0.0462403082667712,FALSE
"JH-2-009","Pearson.est","cytochrome P450 inhibitor",-0.49633,-1.18,0.301,806,0.61,"itraconazole, PF.4981517, eplerenone, clotrimazole, cobicistat",0.521433504406157,0.214670164989233,FALSE
"JH-2-009","Pearson.est","DNA alkylating agent",-0.51268,-1.25,0.212,1246,0.524,"cisplatin, satraplatin, mitomycin.c, melphalan, dianhydrogalactitol",0.673664139071249,0.280668713016273,FALSE
"JH-2-009","Pearson.est","DNA inhibitor",-0.30031,-0.736,0.792,1111,0.932,"tirapazamine, busulfan, chlorambucil, valrubicin, melphalan",0.101274818410506,0.0305840876460186,FALSE
"JH-2-009","Pearson.est","DNA methyltransferase inhibitor",0.27481,0.775,0.746,184,0.931,"azacitidine, decitabine",0.127261172527331,0.0310503190186574,FALSE
"JH-2-009","Pearson.est","DNA polymerase inhibitor",-0.35224,-0.852,0.655,1136,0.929,"menadione, trifluridine, cephalomannine",0.183758700008217,0.0319842860063582,FALSE
"JH-2-009","Pearson.est","DNA synthesis inhibitor",-0.67362,-1.63,0.0366,1180,0.258,"cyclocytidine, azodicarbonamide, floxuridine, cisplatin, artemisinin, mitomycin.c, estramustine.phosphate",1.43651891460559,0.58838029403677,FALSE
"JH-2-009","Pearson.est","dopamine receptor antagonist",0.36947,1.01,0.431,164,0.928,"clebopride, thioproperazine, mesoridazine, oxiperomide, lurasidone",0.365522729839268,0.0324520237811379,FALSE
"JH-2-009","Pearson.est","estrogen receptor agonist",-0.26781,-0.654,0.87,1350,0.972,"estradiol.cypionate",0.0604807473813815,0.0123337350737254,FALSE
"JH-2-009","Pearson.est","estrogen receptor antagonist",0.3726,0.964,0.473,117,0.918,"raloxifene, clomifene",0.325138859262188,0.0371573187987575,FALSE
"JH-2-009","Pearson.est","FGFR inhibitor",-0.64897,-1.54,0.0441,1289,0.274,"MK.2461, dovitinib, lenvatinib, erdafitinib, nintedanib",1.35556141053216,0.562249437179612,FALSE
"JH-2-009","Pearson.est","FLT3 inhibitor",-0.65214,-1.58,0.0484,1054,0.268,"sorafenib, tyrphostin.AG.1296, ENMD.2076, tandutinib, lestaurtinib, sunitinib, KW.2449, ponatinib, dovitinib, tozasertib, midostaurin, quizartinib",1.31515463835559,0.571865205971211,FALSE
"JH-2-009","Pearson.est","glucocorticoid receptor agonist",0.65297,1.74,0.0459,228,0.319,"triamcinolone.acetonide, ciclesonide, fluocinolone.acetonide, flumethasone.pivalate, halcinonide, dexamethasone.acetate, desonide, rimexolone, difluprednate, flumethasone, hydrocortisone, halobetasol.propionate, fludroxycortide, methylprednisolone",1.33818731446274,0.496209316942819,FALSE
"JH-2-009","Pearson.est","glutamate receptor antagonist",0.3124,0.811,0.689,323,1,"SIB.1757, latrepirdine, CPP, diazooxonorleucine, CGP.37849, MTPG",0.161780778092374,0,FALSE
"JH-2-009","Pearson.est","glycogen synthase kinase inhibitor",-0.23317,-0.556,0.948,969,0.991,"tideglusib, CHIR.98014, CHIR.99021",0.0231916626619338,0.00392634551472468,FALSE
"JH-2-009","Pearson.est","growth factor receptor inhibitor",-0.45378,-1.1,0.361,1112,0.67,"PHA.848125, lestaurtinib, danusertib",0.442492798094342,0.173925197299174,FALSE
"JH-2-009","Pearson.est","HCV inhibitor",0.34957,0.908,0.522,145,0.989,"PSI.7976, embelin",0.282329496997738,0.0048037084028206,FALSE
"JH-2-009","Pearson.est","HDAC inhibitor",0.27429,0.727,0.761,89,0.901,"PCI.24781, romidepsin, givinostat",0.118615343229427,0.045275209020937,FALSE
"JH-2-009","Pearson.est","histamine receptor antagonist",0.19091,0.512,0.98,1175,0.977,"ranitidine, terfenadine, ebastine, levocetirizine, astemizole, chloropyramine, epinastine, lafutidine, tecastemizole, ICI.162846, nizatidine, BF2.649, pheniramine, cimetidine, tiotidine, cyproheptadine, famotidine, zolantidine",0.00877392430750515,0.0101054362812269,FALSE
"JH-2-009","Pearson.est","HMGCR inhibitor",-0.78194,-1.92,0.00311,1323,0.0551,"pitavastatin, fluvastatin, atorvastatin, mevastatin",2.50723961097316,1.25884840114821,TRUE
"JH-2-009","Pearson.est","HSP inhibitor",-0.53568,-1.29,0.185,785,0.499,"tanespimycin, SNX.5422, KW.2478, alvespimycin, BIIB021, SNX.2112, XL888, NVP.AUY922, VER.49009, PU.H71, ganetespib, NMS.E973",0.732828271596986,0.30189945437661,FALSE
"JH-2-009","Pearson.est","JAK inhibitor",-0.52929,-1.28,0.176,1220,0.493,"lestaurtinib, PRT062070, tozasertib, AT.9283, ruxolitinib",0.75448733218585,0.30715308072277,FALSE
"JH-2-009","Pearson.est","KIT inhibitor",-0.53373,-1.29,0.186,1021,0.499,"regorafenib, imatinib, sorafenib, KI.8751, telatinib, tandutinib, cediranib, sunitinib, midostaurin, motesanib, pazopanib, lenvatinib",0.730487055782084,0.30189945437661,FALSE
"JH-2-009","Pearson.est","MDM inhibitor",-0.31371,-0.769,0.752,1145,0.927,"serdemetan, AMG.232",0.123782159408358,0.0329202658555029,FALSE
"JH-2-009","Pearson.est","MEK inhibitor",0.73039,1.95,0.00588,136,0.136,"AZD8330, cobimetinib, MEK162, Ro.4987655, trametinib, TAK.733, PD.0325901, refametinib, AS.703026, selumetinib",2.23062267392386,0.866461091629782,TRUE
"JH-2-009","Pearson.est","MET inhibitor",-0.67469,-1.64,0.0291,1343,0.29,"LY2801653, AMG458",1.53610701101409,0.537602002101044,FALSE
"JH-2-009","Pearson.est","microtubule inhibitor",-0.63017,-1.53,0.0495,1178,0.265,"D.64131, cabazitaxel, vinflunine, colchicine, vinblastine, estramustine.phosphate",1.30539480106643,0.576754126063192,FALSE
"JH-2-009","Pearson.est","mTOR inhibitor",0.33491,0.901,0.553,187,0.95,"XL388, WAY.600, LY303511, WYE.354, PP242, GSK2126458",0.257274868695302,0.0222763947111523,FALSE
"JH-2-009","Pearson.est","NFkB pathway inhibitor",-0.37121,-0.903,0.576,1406,0.911,"BAY.11.7082",0.239577516576788,0.0404816230270017,FALSE
"JH-2-009","Pearson.est","opioid receptor agonist",-0.55615,-1.35,0.147,1249,0.488,"cebranopadol, salvinorin.a, spiradoline",0.832682665251824,0.311580177997289,FALSE
"JH-2-009","Pearson.est","p38 MAPK inhibitor",0.44952,1.2,0.223,374,0.753,"SB.242235, TAK.715, CMPD.1, SB.239063",0.651695136951839,0.123205023799299,FALSE
"JH-2-009","Pearson.est","PARP inhibitor",-0.84389,-2.06,0,1371,0.0192,"AZD2461, niraparib, olaparib, talazoparib",Inf,1.71669877129645,TRUE
"JH-2-009","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.59571,-1.48,0.0825,1021,0.324,"regorafenib, CP.673451, imatinib, sorafenib, crenolanib, orantinib, trapidil, KI.8751, telatinib, tandutinib, sunitinib, ponatinib, dovitinib, motesanib, pazopanib, lenvatinib, axitinib, nintedanib, linifanib",1.08354605145007,0.489454989793388,FALSE
"JH-2-009","Pearson.est","phosphatase inhibitor",0.28779,0.736,0.767,24,0.922,"alexidine",0.115204636051019,0.0352690789463706,FALSE
"JH-2-009","Pearson.est","phosphodiesterase inhibitor",-0.47499,-1.16,0.277,1123,0.622,"GSK256066, enoximone, anagrelide, papaverine, YM.976",0.557520230935551,0.206209615309181,FALSE
"JH-2-009","Pearson.est","PI3K inhibitor",0.2232,0.588,0.92,357,0.966,"LY303511, TG.100713, YM.201636, taselisib, GSK2126458, alpelisib, GDC.0941, PF.05212384, PIK.75, BGT226",0.0362121726544447,0.0150228735845067,FALSE
"JH-2-009","Pearson.est","PLK inhibitor",-0.73443,-1.8,0.0116,1090,0.0973,"HMN.214, BI.2536, GSK461364, GW.843682X, rigosertib, volasertib",1.93554201077308,1.01188715973165,TRUE
"JH-2-009","Pearson.est","potassium channel blocker",-0.43575,-1.07,0.38,903,0.705,"ibutilide, mepivacaine, meglitinide, dofetilide",0.42021640338319,0.151810883008601,FALSE
"JH-2-009","Pearson.est","PPAR receptor agonist",-0.38766,-0.936,0.547,853,0.871,"pterostilbene, ciprofibrate, clofibrate, GW.501516",0.262012673666569,0.0599818449923368,FALSE
"JH-2-009","Pearson.est","progesterone receptor agonist",-0.25472,-0.622,0.898,1016,0.983,"danazol, norgestrel, dienogest",0.0467236633326956,0.00744648216786438,FALSE
"JH-2-009","Pearson.est","proteasome inhibitor",-0.52605,-1.29,0.16,842,0.499,"ixazomib.citrate, carfilzomib, ONX.0914, ixazomib, delanzomib, MG.132",0.795880017344075,0.30189945437661,FALSE
"JH-2-009","Pearson.est","protein synthesis inhibitor",-0.29701,-0.717,0.805,1056,0.938,"puromycin, homoharringtonine, clofoctol, harringtonine, mercaptopurine, anguidine",0.0942041196321315,0.0277971616209356,FALSE
"JH-2-009","Pearson.est","protein tyrosine kinase inhibitor",0.56964,1.49,0.101,229,0.483,"AV.412, BMS.599626, tyrphostin.A9, PP.121",0.995678626217357,0.316052869248488,FALSE
"JH-2-009","Pearson.est","RAF inhibitor",-0.21799,-0.534,0.959,1021,0.984,"regorafenib, sorafenib, TAK.632, RAF265, PLX.4720",0.0181813928293364,0.00700490156865849,FALSE
"JH-2-009","Pearson.est","RET tyrosine kinase inhibitor",0.43657,1.14,0.294,6,0.753,"vandetanib",0.531652669587843,0.123205023799299,FALSE
"JH-2-009","Pearson.est","retinoid receptor agonist",0.29689,0.789,0.71,198,0.946,"CD.437, AM.580, tamibarotene",0.148741651280925,0.0241088635982073,FALSE
"JH-2-009","Pearson.est","ribonucleotide reductase inhibitor",-0.54341,-1.31,0.166,871,0.545,"fludarabine.phosphate, LY2334737, pentostatin, fludarabine, hydroxyurea, gemcitabine, cladribine, clofarabine",0.779891911959945,0.263603497723358,FALSE
"JH-2-009","Pearson.est","serotonin receptor agonist",-0.63224,-1.54,0.0543,1202,0.274,"SR.57227A, zolmitriptan, aripiprazole",1.26520017041115,0.562249437179612,FALSE
"JH-2-009","Pearson.est","serotonin receptor antagonist",-0.35429,-0.874,0.623,1187,0.915,"paliperidone, lerisetron, aripiprazole",0.20551195334083,0.0385789059335517,FALSE
"JH-2-009","Pearson.est","sodium channel blocker",-0.34709,-0.833,0.664,1264,0.89,"benzethonium, oxcarbazepine, lappaconite",0.177831920631982,0.0506099933550872,FALSE
"JH-2-009","Pearson.est","src inhibitor",0.55406,1.48,0.0833,69,0.375,"saracatinib, ZM.306416, dasatinib, bosutinib",1.07935499859321,0.425968732272281,FALSE
"JH-2-009","Pearson.est","sterol demethylase inhibitor",-0.46264,-1.12,0.317,1232,0.682,"posaconazole, chlormidazole",0.498940737782249,0.166215625343521,FALSE
"JH-2-009","Pearson.est","TGF beta receptor inhibitor",0.45104,1.14,0.31,340,0.753,"repsox, D.4476, SB.431542",0.508638306165727,0.123205023799299,FALSE
"JH-2-009","Pearson.est","thymidylate synthase inhibitor",-0.40445,-0.983,0.477,1024,0.803,"raltitrexed, trifluridine",0.321481620959886,0.095284454721319,FALSE
