"type","Rank_metric","Feature_set","ES","NES","p_value","Position_at_max","FDR_q_value","Leading_edge","minusLogP","minusLogFDR","sig"
"JH-2-009","Chr8","KEGG_ABC_TRANSPORTERS",0.56942,0.955,0.576,1847,0.899,"ABCA9, ABCA5, ABCA1, ABCA10, ABCA6, ABCA8, ABCB7, ABCG2",0.239577516576788,0.0462403082667712,FALSE
"JH-2-009","Chr8","KEGG_ACUTE_MYELOID_LEUKEMIA",0.67171,1.12,0.381,442,1,"RPS6KB1, TCF7L2, PIK3CA, PIK3R3, AKT3, TCF7",0.419075024324381,0,FALSE
"JH-2-009","Chr8","KEGG_ADHERENS_JUNCTION",0.67687,1.14,0.362,656,1,"FYN, CDC42, ACTB, ACTG1, EGFR, CREBBP, TCF7L2, TCF7, CTNNB1, TJP1, RHOA, SMAD4, CTNNA1",0.441291429466834,0,FALSE
"JH-2-009","Chr8","KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY",0.46248,0.777,0.738,1099,0.935,"AKT3, ACSL4, MAPK8, MAPK9, RXRA, ACSL3",0.131943638176958,0.0291883891274822,FALSE
"JH-2-009","Chr8","KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.64252,1.09,0.403,703,1,"PIK3CA, PIK3R3, PDPK1",0.39469495385889,0,FALSE
"JH-2-009","Chr8","KEGG_ALZHEIMERS_DISEASE",0.52712,0.88,0.622,696,0.875,"MT-CO1, GAPDH, PPP3R1, CACNA1D, LRP1, CALM1, CALM2, PPP3CB, MT-CO2, CALM3, CAPN1, MT-CO3",0.206209615309181,0.0579919469776868,FALSE
"JH-2-009","Chr8","KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.33724,0.566,0.882,1356,1,"IARS1, GARS1, QARS1, DARS1, FARSB, HARS1",0.0545314148681803,0,FALSE
"JH-2-009","Chr8","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.32248,0.536,0.91,1473,0.98,"GPI, HK2, CYB5R3, MPI",0.0409586076789064,0.00877392430750515,FALSE
"JH-2-009","Chr8","KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.48861,0.825,0.677,427,0.907,"PPP3R1, PPP3CB",0.169411331314856,0.0423927129399047,FALSE
"JH-2-009","Chr8","KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.53635,0.91,0.596,1377,0.896,"CREB1, HSPA8, CANX, HSP90AB1, CTSB, B2M, CTSL, HSPA2, CALR, HLA-A, HLA-B, HSPA1B, HSPA5",0.224753740259764,0.0476919903378748,FALSE
"JH-2-009","Chr8","KEGG_APOPTOSIS",0.54993,0.903,0.606,640,0.884,"PIK3CA, PPP3R1, PIK3R3, AKT3, PPP3CB, PRKAR1A, CAPN1",0.217527375833714,0.0535477349869269,FALSE
"JH-2-009","Chr8","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.59082,1.01,0.456,774,0.985,"GLUD1, GLS, AMD1",0.341035157335565,0.00656376950238827,FALSE
"JH-2-009","Chr8","KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.63623,1.09,0.407,884,1,"ACTB, ACTG1, TCF7L2, CACNA1D, TCF7, CTNNB1, CTNNA1, DMD, ITGB8, LAMA2",0.39040559077478,0,FALSE
"JH-2-009","Chr8","KEGG_AXON_GUIDANCE",0.61335,1.03,0.463,582,0.976,"NFAT5, FYN, CDC42, PPP3R1, PPP3CB, EFNB2, EFNB1, RHOA",0.334419008982047,0.0105501823333082,FALSE
"JH-2-009","Chr8","KEGG_BASAL_CELL_CARCINOMA",0.74825,1.28,0.22,463,1,"APC, PTCH1, TCF7L2, FZD2, TCF7, CTNNB1",0.657577319177794,0,FALSE
"JH-2-009","Chr8","KEGG_BASAL_TRANSCRIPTION_FACTORS",-0.23969,-0.803,0.723,1023,0.7,"TAF1, TAF7, TAF9B, TBPL1, GTF2A1, GTF2F1, GTF2H1, STON1, TAF2, TAF9, TBP",0.140861702705469,0.154901959985743,FALSE
"JH-2-009","Chr8","KEGG_BASE_EXCISION_REPAIR",0.94294,1.57,0.0374,22,1,"HMGB1",1.42712839779952,0,FALSE
"JH-2-009","Chr8","KEGG_BLADDER_CANCER",0.48299,0.815,0.686,788,0.909,"EGFR, CCND1, CDK4, E2F3, BRAF",0.163675884293248,0.0414361167780325,FALSE
"JH-2-009","Chr8","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.66787,1.11,0.399,427,1,"NFAT5, PIK3CA, PPP3R1, PIK3R3, AKT3, PPP3CB",0.399027104313252,0,FALSE
"JH-2-009","Chr8","KEGG_CALCIUM_SIGNALING_PATHWAY",0.58445,0.978,0.519,944,0.91,"GNAS, EGFR, PPP3R1, ADCY9, CACNA1D, CALM1, CALM2, PPP3CB, CALM3, PDGFRB, CAMK4, PDGFRA, PHKA2, PLCB1",0.284832642151542,0.0409586076789064,FALSE
"JH-2-009","Chr8","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.54751,0.922,0.569,696,0.902,"MT-CO1, CACNA1D, TPM1, MT-CO2, MT-CO3",0.244887733604929,0.0447934624580583,FALSE
